City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,11.47,78,40,1.54,US,1682994592
1,gaspe,48.8334,-64.4819,3.95,100,100,6.17,CA,1682994592
2,kruisfontein,-34.0033,24.7314,11.05,93,100,3.06,ZA,1682994592
3,okhotsk,59.3833,143.3,1.34,70,89,3.31,RU,1682994592
4,lascano,-33.6667,-54.2,12.21,68,97,0.89,UY,1682994593
5,puerto natales,-51.7236,-72.4875,5.03,84,92,6.05,CL,1682994593
6,palestine,31.9216,35.2033,9.97,81,5,0.86,PS,1682994593
7,tvoroyri,61.5556,-6.8111,4.47,64,91,6.43,FO,1682994593
8,nabire,-3.3667,135.4833,28.96,74,78,1.35,ID,1682994593
9,mount isa,-20.7333,139.5,24.87,25,11,4.12,AU,1682994593
10,hirara,24.8,125.2833,26.15,73,20,8.75,JP,1682994593
11,arraial do cabo,-22.9661,-42.0278,23.29,87,0,4.33,BR,1682994594
12,mechraa bel ksiri,34.574,-5.9537,16.06,76,94,1.31,MA,1682994594
13,lompoc,34.6391,-120.4579,12.79,79,40,4.63,US,1682994594
14,waitangi,-43.9535,-176.5597,16.01,79,97,2.24,NZ,1682994594
15,cockburn town,21.4612,-71.1419,26.88,79,95,1.95,TC,1682994426
16,kamaishi,39.2667,141.8833,11.16,66,99,1.91,JP,1682994594
17,eunice,30.4944,-92.4176,19.94,69,45,0.92,US,1682994594
18,castillos,-34.1667,-53.8333,13.5,65,99,2.81,UY,1682994594
19,invercargill,-46.4,168.35,14.86,69,100,1.84,NZ,1682994595
20,harstad,68.799,16.5293,1.56,96,100,1.34,NO,1682994595
21,adamstown,-25.066,-130.1015,25.53,76,23,6.69,PN,1682994595
22,fort bragg,35.139,-79.006,17.68,44,0,5.66,US,1682994595
23,jamestown,42.097,-79.2353,3.73,92,100,4.12,US,1682994595
24,sisimiut,66.9395,-53.6735,-2.18,80,46,2.88,GL,1682994595
25,amursk,50.2261,136.8994,15.43,40,35,8.18,RU,1682994595
26,sampit,-2.5333,112.95,31.35,62,48,1.12,ID,1682994595
27,papatowai,-46.5619,169.4708,19.79,66,85,4.09,NZ,1682994596
28,lihue,21.9789,-159.3672,25.77,78,100,0.0,US,1682994596
29,san carlos,9.6612,-68.5827,28.0,59,17,1.27,VE,1682994596
30,utrik,11.2278,169.8474,27.29,80,53,10.22,MH,1682994596
31,stanley,54.868,-1.6985,6.55,92,91,1.22,GB,1682994596
32,arkhangel'sk,64.5401,40.5433,2.17,83,100,3.77,RU,1682994596
33,port-aux-francais,-49.35,70.2167,3.03,69,42,5.22,TF,1682994596
34,longyearbyen,78.2186,15.6401,-15.09,61,20,2.57,SJ,1682994597
35,marka,1.7159,44.7717,26.12,83,100,3.98,SO,1682994597
36,manaure,11.7751,-72.4445,29.04,71,10,5.64,CO,1682994597
37,jiayuguan,39.8167,98.3,15.59,20,10,1.45,CN,1682994597
38,iqaluit,63.7506,-68.5145,-1.15,86,100,7.72,CA,1682994566
39,kingston,17.997,-76.7936,28.53,84,20,5.14,JM,1682994488
40,paciran,-6.8767,112.3761,28.68,76,84,3.22,ID,1682994597
41,aljezur,37.3191,-8.8033,17.68,55,100,3.08,PT,1682994598
42,polyarnyy,69.1989,33.4478,-0.11,98,99,5.14,RU,1682994598
43,bredasdorp,-34.5322,20.0403,12.75,74,100,1.89,ZA,1682994598
44,avarua,-21.2078,-159.775,25.03,69,100,6.69,CK,1682994598
45,okondja,-0.6549,13.6753,21.75,99,100,1.5,GA,1682994598
46,fortuna,40.5982,-124.1573,11.48,82,100,2.24,US,1682994061
47,petropavlovsk-kamchatsky,53.0452,158.6483,6.33,65,75,5.0,RU,1682994598
48,charters towers,-20.1,146.2667,27.9,50,52,5.52,AU,1682994599
49,kolonia,50.9333,6.95,11.09,86,75,3.09,DE,1682994589
50,altai,46.3722,96.2583,1.72,37,93,8.9,MN,1682994599
51,olonkinbyen,70.9221,-8.7187,-1.76,61,63,3.96,SJ,1682994599
52,walvis bay,-22.9575,14.5053,15.27,76,1,4.09,NA,1682994321
53,vorgashor,67.5833,63.95,-1.29,85,100,9.87,RU,1682994599
54,yellowknife,62.456,-114.3525,14.29,44,20,5.14,CA,1682994599
55,tsarevo,42.1667,27.85,9.06,71,0,0.69,BG,1682994600
56,staroaleyskoye,51.0061,82.0,0.31,82,83,5.32,RU,1682994600
57,ushuaia,-54.8,-68.3,2.81,87,75,7.72,AR,1682994600
58,atafu village,-8.5421,-172.5159,28.84,76,9,6.22,TK,1682994600
59,mbandaka,0.0487,18.2603,21.85,85,63,1.44,CD,1682994600
60,punta arenas,-53.15,-70.9167,6.06,75,0,18.01,CL,1682994601
61,bilibino,68.0546,166.4372,-5.35,72,32,1.33,RU,1682994601
62,argo,37.6333,22.7333,13.21,82,100,0.96,GR,1682994601
63,barra de santo antonio,-9.4047,-35.5072,23.6,81,50,1.85,BR,1682994601
64,sandnessjoen,66.0217,12.6316,-2.71,73,14,2.11,NO,1682994602
65,nar'yan-mar,67.6713,53.087,1.44,99,100,6.89,RU,1682994602
66,prado,-17.3411,-39.2208,23.27,91,98,1.18,BR,1682994602
67,hasaki,35.7333,140.8333,20.16,43,1,5.9,JP,1682994603
68,bhimunipatnam,17.8833,83.4333,23.73,69,93,1.12,IN,1682994603
69,dryden,49.7833,-92.7503,5.16,36,0,3.6,CA,1682994603
70,anadyr,64.75,177.4833,-8.72,78,0,6.0,RU,1682994603
71,minas de marcona,-15.2119,-75.1103,14.94,85,19,5.61,PE,1682994604
72,tidjikja,18.5564,-11.4271,30.52,8,4,0.87,MR,1682994604
73,constantia,44.1833,28.65,8.38,84,1,3.68,RO,1682994604
74,port elizabeth,-33.918,25.5701,14.06,96,0,2.57,ZA,1682994604
75,urumqi,43.801,87.6005,5.53,49,75,4.0,CN,1682994604
76,oranjemund,-28.55,16.4333,11.57,93,21,2.81,NA,1682994605
77,cadale,2.7603,46.3222,27.23,78,100,6.7,SO,1682994605
78,baukau,51.5526,7.2042,10.78,84,79,0.89,DE,1682994605
79,khandyga,62.6667,135.6,2.06,95,100,1.32,RU,1682994605
80,edinburgh of the seven seas,-37.0676,-12.3116,16.06,78,19,8.19,SH,1682994605
81,pizarro,4.9533,-77.366,26.45,83,99,0.69,CO,1682994606
82,rio grande,-32.035,-52.0986,15.26,91,100,4.38,BR,1682994489
83,conceicao da barra,-18.5933,-39.7322,22.19,93,55,1.55,BR,1682994336
84,albany,42.6001,-73.9662,8.29,82,100,0.45,US,1682994606
85,yarmouth,41.7057,-70.2286,11.67,85,0,4.63,US,1682994607
86,vila franca do campo,37.7167,-25.4333,15.23,89,98,3.49,PT,1682994607
87,ust-nera,64.5667,143.2,-0.59,79,100,1.71,RU,1682994607
88,codrington,-38.2667,141.9667,15.36,73,64,8.0,AU,1682994607
89,guatrache,-37.6678,-63.5302,9.25,42,0,2.36,AR,1682994608
90,san luis,-33.295,-66.3356,10.96,54,48,1.35,AR,1682994608
91,sinabang,2.4803,96.3801,28.43,80,100,2.03,ID,1682994608
92,kodiak,57.79,-152.4072,5.73,75,75,3.09,US,1682994608
93,balkanabat,39.5108,54.3671,18.62,68,100,3.16,TM,1682994608
94,portland,45.5234,-122.6762,14.78,66,100,3.09,US,1682994266
95,ribeira grande,38.5167,-28.7,15.99,77,30,6.26,PT,1682994609
96,st. john's,47.5649,-52.7093,2.21,91,100,5.66,CA,1682994592
97,qui nhon,13.7667,109.2333,28.95,66,100,3.23,VN,1682994609
98,afaahiti,-17.75,-149.2833,27.93,83,100,9.57,PF,1682994609
99,sitka,57.0531,-135.33,7.94,81,100,4.12,US,1682994609
100,bonthe,7.5264,-12.505,26.76,82,96,1.95,SL,1682994610
101,isafjordur,66.0755,-23.124,0.4,78,78,2.36,IS,1682994610
102,madan,41.5,24.95,6.29,90,82,1.42,BG,1682994610
